condicao_corporal,historico_taxa_prenhez,intervalo_pos_parto_dias,num_partos_anteriores,dias_desde_ultima_ins,dep_fertilidade_animal,especie,raca_femea,tipo_inseminacao,protocolo_hormonal,temperatura_ambiente_c,estacao,dep_acuracia,coeficiente_endogamia,prenha
2.0,0.2,43,1,70,3.4,OVINO,Somalis Brasileira,IA_CONVENCIONAL,IA_CONVENCIONAL,31.3,SECA,0.53,0.0135,0
3.0,0.5726,76,4,37,4.4,OVINO,Texel,IATF,Ovsynch,28.0,SECA,0.7,0.02,1
3.0,0.66,67,3,120,10.2,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,27.4,SECA,0.51,0.06,1
2.5,0.33,36,0,14,2.5,OVINO,Santa Inês,IATF,Crestar,30.1,SECA,0.8,0.06,0
2.0,0.29,53,4,88,5.7,OVINO,Santa Inês,IATF,P4+EB 7 dias,37.8,SECA,0.69,0.0103,0
4.0,0.6259,157,0,73,8.3,CAPRINO,Boer,IATF,GnRH+PGF2α,26.2,SECA,0.7,0.02,0
4.0,0.5726,169,0,10,2.3,OVINO,Texel,IA_CONVENCIONAL,IA_CONVENCIONAL,24.3,CHUVOSA,0.7,0.02,1
3.5,0.71,86,2,55,7.5,OVINO,Santa Inês,IATF,OvSynch,29.2,CHUVOSA,0.72,0.06,1
4.5,0.14,32,1,73,0.0,CAPRINO,Saanen,IA_CONVENCIONAL,IA_CONVENCIONAL,31.3,CHUVOSA,0.83,0.0871,0
4.0,0.6672,168,0,17,4.0,BOVINO,Nelore,IATF,Cosynch,25.2,CHUVOSA,0.7,0.02,1
4.0,0.6259,69,2,105,7.2,CAPRINO,Anglo Nubiana,IATF,Sem protocolo,18.0,CHUVOSA,0.7,0.02,1
1.0,0.0,49,2,158,3.1,OVINO,Suffolk,IATF,P4+EB 7 dias,24.8,CHUVOSA,0.63,0.06,0
5.0,0.5726,175,3,31,5.8,OVINO,Santa Inês,IATF,Resynch,23.1,SECA,0.7,0.02,1
5.0,0.6259,117,3,78,5.9,CAPRINO,Canindé,IA_CONVENCIONAL,IA_CONVENCIONAL,30.0,SECA,0.7,0.02,0
3.5,0.53,50,4,107,11.1,OVINO,Dorper,IATF,OvSynch,26.3,CHUVOSA,0.61,0.06,1
4.0,0.5726,169,0,37,5.9,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,31.8,CHUVOSA,0.7,0.02,1
3.0,0.5726,215,1,56,5.7,OVINO,Bergamácia,IA_CONVENCIONAL,IA_CONVENCIONAL,26.1,SECA,0.7,0.02,0
1.5,0.25,27,3,81,1.7,BOVINO,Angus,IA_CONVENCIONAL,IA_CONVENCIONAL,38.6,SECA,0.38,0.1173,0
3.0,0.6672,225,3,60,3.9,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,30.8,CHUVOSA,0.7,0.02,1
5.0,0.6672,299,4,28,4.1,BOVINO,Canchim,IA_CONVENCIONAL,IA_CONVENCIONAL,20.8,CHUVOSA,0.7,0.02,1
3.5,0.65,68,1,131,6.3,BOVINO,Nelore,IATF,CIDR+GnRH,24.1,CHUVOSA,0.82,0.06,1
4.0,0.6259,157,0,70,5.3,CAPRINO,Toggenburg,IA_CONVENCIONAL,IA_CONVENCIONAL,34.8,SECA,0.7,0.02,1
3.0,0.6672,168,0,55,7.0,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,30.9,SECA,0.7,0.02,1
2.0,0.5726,141,4,66,6.4,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,24.8,CHUVOSA,0.7,0.02,0
3.5,0.64,83,2,178,3.0,BOVINO,Gir,IATF,OvSynch,28.0,CHUVOSA,0.62,0.0031,1
3.0,0.5726,169,0,92,4.2,OVINO,Somalis,IA_CONVENCIONAL,IA_CONVENCIONAL,36.6,SECA,0.7,0.02,0
3.5,0.5,84,3,117,9.3,BOVINO,Angus,IATF,Crestar,26.7,SECA,0.75,0.0112,1
4.0,0.6672,241,4,26,2.9,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,31.9,SECA,0.7,0.02,1
2.5,0.59,47,0,73,5.4,BOVINO,Tabapuã,IATF,CIDR+GnRH,25.1,SECA,0.37,0.0329,0
2.5,0.69,45,3,101,11.8,OVINO,Somalis Brasileira,IA_CONVENCIONAL,IA_CONVENCIONAL,27.4,CHUVOSA,0.55,0.0059,1
3.0,0.6672,168,0,13,4.4,BOVINO,Sindi,IA_CONVENCIONAL,IA_CONVENCIONAL,38.2,SECA,0.7,0.02,0
2.0,0.5726,100,2,39,6.4,OVINO,Texel,IA_CONVENCIONAL,IA_CONVENCIONAL,37.4,SECA,0.7,0.02,0
3.5,0.7,106,0,110,8.3,OVINO,Santa Inês,IATF,Crestar,32.3,SECA,0.42,0.0132,1
3.5,0.92,86,2,100,14.4,CAPRINO,Anglo-nubiano,IATF,Crestar,32.7,CHUVOSA,0.82,0.06,1
2.0,0.48,68,7,175,8.0,BOVINO,Brahman,IATF,OvSynch,29.9,CHUVOSA,0.68,0.0011,0
3.0,0.6672,168,0,65,7.2,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,36.6,SECA,0.7,0.02,1
3.0,0.6259,157,0,67,2.1,CAPRINO,Canindé,IA_CONVENCIONAL,IA_CONVENCIONAL,29.3,SECA,0.7,0.02,1
3.0,0.64,76,4,28,9.0,CAPRINO,Anglo-nubiano,IATF,OvSynch,29.6,CHUVOSA,0.53,0.0551,1
4.0,0.41,68,4,77,6.9,BOVINO,Guzerá,IATF,OvSynch,21.1,CHUVOSA,0.74,0.0467,1
3.5,0.72,45,3,36,10.6,CAPRINO,Moxotó,IATF,P4+EB 7 dias,27.0,CHUVOSA,0.74,0.0191,1
3.5,0.73,49,2,96,12.9,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,28.7,CHUVOSA,0.72,0.0142,1
3.5,0.42,20,1,76,6.0,OVINO,Somalis Brasileira,IA_CONVENCIONAL,IA_CONVENCIONAL,31.6,SECA,0.53,0.06,0
5.0,0.2,61,8,118,9.7,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,28.8,SECA,0.66,0.0006,0
4.0,0.77,118,1,83,4.6,CAPRINO,Saanen,IATF,P4+EB 7 dias,29.6,SECA,0.79,0.0142,1
3.0,0.66,60,2,103,10.1,CAPRINO,Anglo-nubiano,IATF,P4+EB 7 dias,21.2,CHUVOSA,0.84,0.06,1
2.5,0.74,85,2,118,14.2,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,30.1,CHUVOSA,0.86,0.0082,1
3.5,0.7,79,3,96,5.9,BOVINO,Tabapuã,IATF,OvSynch,25.5,CHUVOSA,0.45,0.022,1
4.0,0.81,100,4,65,8.6,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,29.8,SECA,0.5,0.06,1
5.0,0.6259,93,5,103,5.7,CAPRINO,Anglo Nubiana,IA_CONVENCIONAL,IA_CONVENCIONAL,38.2,SECA,0.7,0.02,1
4.0,0.5726,271,1,34,2.4,OVINO,Somalis,IATF,Ovsynch,34.8,SECA,0.7,0.02,1
2.0,0.36,19,3,7,3.4,CAPRINO,Moxotó,IATF,P4+EB 7 dias,28.5,SECA,0.38,0.0093,0
4.0,0.69,96,6,138,7.6,CAPRINO,Moxotó,IATF,Crestar,18.0,SECA,0.48,0.052,1
4.0,0.5726,154,2,6,5.1,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,37.7,CHUVOSA,0.7,0.02,1
4.5,0.41,83,3,44,5.5,CAPRINO,Anglo-nubiano,IA_CONVENCIONAL,IA_CONVENCIONAL,26.1,SECA,0.23,0.0343,1
3.5,0.38,44,5,176,5.8,BOVINO,Simmental,IATF,CIDR+GnRH,25.6,SECA,0.59,0.0005,0
1.0,0.6672,168,0,89,6.3,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,30.1,CHUVOSA,0.7,0.02,0
1.5,0.48,38,1,9,4.1,OVINO,Suffolk,IA_CONVENCIONAL,IA_CONVENCIONAL,27.2,CHUVOSA,0.65,0.1561,0
4.0,0.6672,35,1,86,4.4,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,22.4,CHUVOSA,0.7,0.02,1
3.5,0.65,45,1,73,8.5,CAPRINO,Anglo-nubiano,IATF,Crestar,28.3,CHUVOSA,0.89,0.004,1
3.5,0.86,58,3,111,8.6,BOVINO,Angus,IA_CONVENCIONAL,IA_CONVENCIONAL,27.8,CHUVOSA,0.84,0.06,1
4.0,0.6259,157,0,34,4.0,CAPRINO,Saanen,IATF,P4+EB,26.3,SECA,0.7,0.02,1
3.0,0.6259,134,3,48,6.1,CAPRINO,Anglo Nubiana,IA_CONVENCIONAL,IA_CONVENCIONAL,31.3,SECA,0.7,0.02,1
3.0,0.5726,169,0,30,6.2,OVINO,Santa Inês,IATF,IATF 7 dias,30.0,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,6,5.2,BOVINO,Sindi,IATF,GnRH+PGF2α,28.1,SECA,0.7,0.02,0
3.5,0.66,65,3,88,8.1,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,28.4,CHUVOSA,0.66,0.0117,1
3.5,0.7,45,2,160,6.8,CAPRINO,Saanen,IA_CONVENCIONAL,IA_CONVENCIONAL,27.8,CHUVOSA,0.62,0.06,1
4.0,0.5726,169,0,19,2.5,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,21.1,CHUVOSA,0.7,0.02,0
4.0,0.78,76,2,53,10.2,OVINO,Morada Nova,IATF,OvSynch,23.6,CHUVOSA,0.5,0.06,1
4.5,0.48,45,0,120,7.8,OVINO,Suffolk,IA_CONVENCIONAL,IA_CONVENCIONAL,20.4,CHUVOSA,0.53,0.06,0
2.0,0.6672,168,0,84,9.2,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,24.6,CHUVOSA,0.7,0.02,1
2.0,0.6259,156,6,43,4.8,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,37.2,SECA,0.7,0.02,1
3.0,0.6672,168,0,29,5.3,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,25.6,SECA,0.7,0.02,0
3.0,0.5726,169,0,68,7.0,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,19.7,CHUVOSA,0.7,0.02,0
3.0,0.35,79,0,136,4.8,BOVINO,Brahman,IATF,Crestar,20.9,CHUVOSA,0.93,0.0293,0
3.5,0.63,69,5,169,10.3,OVINO,Santa Inês,IATF,CIDR+GnRH,26.0,SECA,0.56,0.0206,1
5.0,0.6259,157,0,49,6.3,CAPRINO,Repartida,IATF,Sem protocolo,22.9,SECA,0.7,0.02,1
4.0,0.6672,168,0,88,8.5,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,37.5,SECA,0.7,0.02,1
3.5,0.85,48,1,122,6.4,BOVINO,Simmental,IATF,P4+EB 7 dias,27.0,CHUVOSA,0.77,0.0084,1
5.0,0.6672,279,1,102,9.5,BOVINO,Guzerá,IATF,Cosynch,37.7,CHUVOSA,0.7,0.02,1
4.5,0.44,23,3,95,1.1,OVINO,Dorper,IATF,Crestar,31.1,SECA,0.43,0.0125,0
4.0,0.6672,101,4,46,7.4,BOVINO,Canchim,IA_CONVENCIONAL,IA_CONVENCIONAL,38.5,CHUVOSA,0.7,0.02,1
2.0,0.5726,77,1,89,5.0,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,25.3,SECA,0.7,0.02,1
3.0,0.89,87,3,141,8.6,BOVINO,Nelore,IATF,Crestar,25.2,CHUVOSA,0.92,0.0392,1
2.5,0.34,51,0,144,2.8,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,33.7,SECA,0.8,0.0327,0
2.0,0.5,33,0,137,2.5,CAPRINO,Saanen,IATF,CIDR+GnRH,30.4,CHUVOSA,0.68,0.0177,0
3.5,0.75,55,5,120,8.1,CAPRINO,Anglo-nubiano,IATF,OvSynch,29.5,SECA,0.67,0.0008,1
4.0,0.74,131,5,56,5.0,OVINO,Suffolk,IATF,OvSynch,34.2,SECA,0.64,0.0201,1
5.0,0.6672,108,3,30,5.0,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,26.7,CHUVOSA,0.7,0.02,1
2.0,0.5726,169,0,30,4.5,OVINO,Bergamácia,IA_CONVENCIONAL,IA_CONVENCIONAL,18.4,CHUVOSA,0.7,0.02,0
3.5,0.45,58,4,20,6.6,CAPRINO,Saanen,IA_CONVENCIONAL,IA_CONVENCIONAL,26.4,CHUVOSA,0.89,0.06,1
4.0,0.5726,133,2,27,6.8,OVINO,Dorper,IA_CONVENCIONAL,IA_CONVENCIONAL,30.2,CHUVOSA,0.7,0.02,1
3.5,0.87,79,6,25,6.8,OVINO,Santa Inês,IATF,Crestar,26.7,CHUVOSA,0.69,0.0464,1
3.0,0.8,77,3,115,7.2,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,23.6,CHUVOSA,0.84,0.0133,1
4.5,0.49,39,5,121,6.1,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,34.2,CHUVOSA,0.79,0.0099,0
3.0,0.9,63,4,124,6.5,BOVINO,Brahman,IATF,OvSynch,27.4,SECA,0.85,0.0219,1
5.0,0.5726,207,4,119,9.5,OVINO,Texel,IA_CONVENCIONAL,IA_CONVENCIONAL,26.1,CHUVOSA,0.7,0.02,1
2.0,0.35,33,2,10,3.4,OVINO,Suffolk,IATF,CIDR+GnRH,32.9,SECA,0.47,0.06,0
4.0,0.6672,168,0,13,8.3,BOVINO,Guzerá,IATF,Sem protocolo,25.7,SECA,0.7,0.02,0
4.0,0.6259,192,4,47,6.8,CAPRINO,Saanen,IATF,Cosynch,21.7,CHUVOSA,0.7,0.02,1
4.0,0.63,115,3,38,7.2,OVINO,Dorper,IATF,P4+EB 7 dias,23.5,CHUVOSA,0.37,0.0018,1
3.0,0.72,95,3,82,7.2,BOVINO,Gir,IATF,P4+EB 7 dias,21.8,CHUVOSA,0.51,0.06,1
2.0,0.35,31,5,6,8.0,BOVINO,Guzerá,IATF,CIDR+GnRH,28.8,SECA,0.82,0.0361,0
3.0,0.6259,64,4,50,5.5,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,35.5,CHUVOSA,0.7,0.02,1
2.5,0.85,94,5,80,8.1,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,19.5,CHUVOSA,0.8,0.0128,1
2.0,0.3,17,3,159,7.0,CAPRINO,Saanen,IATF,Crestar,34.7,CHUVOSA,0.81,0.233,0
3.5,0.71,108,3,66,5.1,BOVINO,Simmental,IA_CONVENCIONAL,IA_CONVENCIONAL,29.8,SECA,0.84,0.0028,1
4.0,0.79,95,5,160,10.4,OVINO,Morada Nova,IATF,OvSynch,26.1,SECA,0.57,0.0239,1
3.5,0.64,73,1,125,8.0,BOVINO,Gir,IATF,CIDR+GnRH,30.2,CHUVOSA,0.4,0.0292,1
5.0,0.6672,168,0,94,6.0,BOVINO,Nelore,IATF,IATF 7 dias,30.2,CHUVOSA,0.7,0.02,1
5.0,0.5726,181,3,54,5.4,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,37.8,SECA,0.7,0.02,0
3.0,0.69,45,2,120,7.8,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,23.5,SECA,0.51,0.0236,1
4.0,0.65,51,3,71,4.8,BOVINO,Simmental,IATF,P4+EB 7 dias,29.4,SECA,0.35,0.0315,1
4.5,0.3,22,2,29,3.9,BOVINO,Nelore,IATF,P4+EB 7 dias,35.3,SECA,0.86,0.06,0
3.5,0.63,100,2,34,12.0,CAPRINO,Moxotó,IATF,CIDR+GnRH,31.3,SECA,0.68,0.06,1
3.0,0.5726,236,3,60,5.3,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,26.3,SECA,0.7,0.02,1
3.0,0.6672,168,0,14,6.8,BOVINO,Girolando,IATF,P4+BE+PGF,37.8,SECA,0.7,0.02,0
3.5,0.65,93,5,106,6.2,CAPRINO,Anglo-nubiano,IATF,OvSynch,27.7,CHUVOSA,0.96,0.012,1
4.0,0.65,74,3,157,8.5,BOVINO,Simmental,IATF,Crestar,32.0,CHUVOSA,0.76,0.0325,1
4.0,0.6672,276,2,74,6.9,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,23.0,SECA,0.7,0.02,1
3.0,0.6259,157,0,114,3.6,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,25.4,CHUVOSA,0.7,0.02,0
4.0,0.6672,151,4,84,4.8,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,31.1,CHUVOSA,0.7,0.02,1
5.0,0.5726,169,0,71,4.7,OVINO,Dorper,IATF,GnRH+PGF2α,32.6,SECA,0.7,0.02,1
3.0,0.6259,157,0,11,5.5,CAPRINO,Repartida,IA_CONVENCIONAL,IA_CONVENCIONAL,29.6,CHUVOSA,0.7,0.02,0
5.0,0.6672,168,0,81,3.1,BOVINO,Nelore,IATF,Ovsynch,25.5,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,9,4.6,BOVINO,Gir,IATF,Ovsynch,24.0,CHUVOSA,0.7,0.02,0
1.5,0.3,44,5,127,5.5,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,24.8,CHUVOSA,0.73,0.06,0
4.0,0.6672,168,0,61,6.0,BOVINO,Girolando,IATF,P4+EB,35.8,SECA,0.7,0.02,1
3.5,0.76,88,3,115,9.0,CAPRINO,Anglo-nubiano,IATF,OvSynch,26.1,SECA,0.38,0.013,1
5.0,0.5726,83,3,105,6.5,OVINO,Santa Inês,IATF,IATF 7 dias,38.4,SECA,0.7,0.02,1
4.0,0.6672,252,1,27,5.1,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,34.1,SECA,0.7,0.02,0
3.0,0.6259,168,3,102,5.3,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,26.7,SECA,0.7,0.02,1
2.0,0.6672,112,1,86,6.8,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,31.3,SECA,0.7,0.02,0
5.0,0.6259,265,3,64,2.7,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,30.7,CHUVOSA,0.7,0.02,1
3.0,0.4,81,2,65,10.4,BOVINO,Brahman,IATF,P4+EB 7 dias,30.8,SECA,0.56,0.0482,1
4.0,0.6672,225,2,119,8.5,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,31.5,SECA,0.7,0.02,1
5.0,0.51,67,0,4,6.1,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,23.4,CHUVOSA,0.8,0.06,0
5.0,0.5726,169,0,7,6.1,OVINO,Morada Nova,IATF,GnRH+PGF2α,36.3,SECA,0.7,0.02,0
5.0,0.68,64,1,1,5.2,OVINO,Dorper,IATF,OvSynch,35.9,SECA,0.19,0.067,0
4.0,0.6259,157,0,40,5.1,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,26.4,SECA,0.7,0.02,1
4.0,0.5726,135,2,68,2.7,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,38.8,CHUVOSA,0.7,0.02,0
4.0,0.6672,239,2,61,4.5,BOVINO,Nelore,IATF,Ovsynch,31.8,CHUVOSA,0.7,0.02,1
3.0,0.5726,48,1,112,1.4,OVINO,Bergamácia,IA_CONVENCIONAL,IA_CONVENCIONAL,26.7,CHUVOSA,0.7,0.02,1
4.5,0.82,98,1,94,8.0,CAPRINO,Moxotó,IATF,Crestar,27.3,CHUVOSA,0.41,0.0008,1
3.5,0.82,112,3,167,6.3,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,26.4,SECA,0.45,0.06,1
4.0,0.6672,168,0,26,5.1,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,31.5,SECA,0.7,0.02,1
3.5,0.83,98,2,85,8.0,OVINO,Suffolk,IA_CONVENCIONAL,IA_CONVENCIONAL,30.5,SECA,0.72,0.0253,1
4.0,0.6672,168,0,21,6.9,BOVINO,Sindi,IA_CONVENCIONAL,IA_CONVENCIONAL,39.5,SECA,0.7,0.02,1
3.0,0.6672,184,3,32,7.5,BOVINO,Tabapuã,IATF,Sem protocolo,29.6,SECA,0.7,0.02,1
4.0,0.5726,169,0,52,8.5,OVINO,Bergamácia,IA_CONVENCIONAL,IA_CONVENCIONAL,29.0,SECA,0.7,0.02,1
3.0,0.6672,168,0,50,7.2,BOVINO,Tabapuã,IATF,P4+EB,34.5,CHUVOSA,0.7,0.02,1
3.0,0.85,57,0,156,6.9,BOVINO,Nelore,IATF,Crestar,35.0,SECA,0.82,0.06,1
4.0,0.5726,169,0,54,3.1,OVINO,Bergamácia,IATF,Sem protocolo,34.4,SECA,0.7,0.02,1
5.0,0.6672,168,0,26,8.8,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,34.7,CHUVOSA,0.7,0.02,0
3.5,0.95,77,5,21,10.1,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,23.6,CHUVOSA,0.47,0.0034,1
4.0,0.85,88,6,143,8.1,BOVINO,Brahman,IATF,Crestar,21.7,CHUVOSA,0.88,0.0262,1
3.5,0.8,95,3,115,5.1,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,26.4,CHUVOSA,0.93,0.0586,1
3.0,0.6672,168,0,70,7.2,BOVINO,Canchim,IA_CONVENCIONAL,IA_CONVENCIONAL,26.6,SECA,0.7,0.02,0
3.0,0.6672,168,0,102,3.5,BOVINO,Tabapuã,IATF,Sem protocolo,24.6,SECA,0.7,0.02,1
4.0,0.6259,239,3,19,5.5,CAPRINO,Saanen,IATF,Sem protocolo,28.1,SECA,0.7,0.02,1
2.5,0.3,29,0,148,11.3,BOVINO,Guzerá,IATF,OvSynch,35.3,CHUVOSA,0.67,0.0131,0
1.0,0.6672,222,2,26,4.3,BOVINO,Brahman,IATF,P4+BE+PGF,28.0,CHUVOSA,0.7,0.02,0
4.0,0.6259,40,1,41,6.5,CAPRINO,Boer,IATF,Resynch,18.4,SECA,0.7,0.02,1
3.0,0.37,37,0,152,7.2,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,29.4,SECA,0.93,0.0277,0
1.5,0.4,55,0,14,3.4,CAPRINO,Saanen,IATF,P4+EB 7 dias,29.2,CHUVOSA,0.8,0.06,0
4.0,0.78,66,5,38,6.0,OVINO,Morada Nova,IATF,P4+EB 7 dias,23.9,CHUVOSA,0.32,0.0004,1
5.0,0.5726,237,3,47,7.1,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,19.0,CHUVOSA,0.7,0.02,0
4.0,0.69,80,4,114,6.3,OVINO,Santa Inês,IATF,OvSynch,26.8,CHUVOSA,0.89,0.0018,1
3.0,0.6672,290,1,110,4.6,BOVINO,Gir,IATF,Sem protocolo,24.0,CHUVOSA,0.7,0.02,0
3.0,0.6672,168,0,90,10.0,BOVINO,Sindi,IA_CONVENCIONAL,IA_CONVENCIONAL,23.5,CHUVOSA,0.7,0.02,0
4.0,0.6672,168,0,118,6.3,BOVINO,Sindi,IA_CONVENCIONAL,IA_CONVENCIONAL,27.6,SECA,0.7,0.02,1
4.0,0.51,54,3,38,4.9,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,31.1,SECA,0.32,0.0241,1
2.0,0.21,57,1,47,3.2,CAPRINO,Moxotó,IATF,CIDR+GnRH,27.8,SECA,0.73,0.0334,0
4.0,0.6259,129,4,66,7.1,CAPRINO,Saanen,IA_CONVENCIONAL,IA_CONVENCIONAL,39.8,CHUVOSA,0.7,0.02,1
3.5,0.59,45,2,135,8.8,CAPRINO,Boer,IATF,CIDR+GnRH,20.9,SECA,0.78,0.0123,1
3.5,0.63,112,4,66,9.3,CAPRINO,Saanen,IATF,CIDR+GnRH,24.6,SECA,0.73,0.06,1
2.5,0.41,80,3,116,5.0,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,34.7,SECA,0.25,0.06,0
3.0,0.6259,157,0,10,5.5,CAPRINO,Repartida,IA_CONVENCIONAL,IA_CONVENCIONAL,24.8,CHUVOSA,0.7,0.02,0
3.0,0.5726,169,0,31,3.5,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,33.8,CHUVOSA,0.7,0.02,1
4.0,0.5726,169,0,8,5.3,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,22.7,CHUVOSA,0.7,0.02,0
4.0,0.5726,207,1,107,7.3,OVINO,Santa Inês,IATF,Resynch,32.4,SECA,0.7,0.02,1
4.0,0.86,86,1,142,8.5,BOVINO,Brahman,IATF,Crestar,33.4,CHUVOSA,0.43,0.0205,1
4.0,0.6672,67,5,109,6.4,BOVINO,Canchim,IATF,Cosynch,21.0,SECA,0.7,0.02,0
2.0,0.6672,168,0,61,7.2,BOVINO,Sindi,IATF,Ovsynch,36.2,SECA,0.7,0.02,1
3.0,0.6672,130,4,92,4.8,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,34.1,CHUVOSA,0.7,0.02,0
4.0,0.5726,41,1,8,5.3,OVINO,Somalis,IATF,IATF 7 dias,37.6,CHUVOSA,0.7,0.02,0
3.5,0.69,100,3,153,9.9,BOVINO,Gir,IATF,OvSynch,19.9,SECA,0.67,0.0329,1
3.0,0.6672,168,0,78,4.6,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,25.3,CHUVOSA,0.7,0.02,1
3.0,0.62,99,4,149,6.8,OVINO,Morada Nova,IATF,OvSynch,30.8,CHUVOSA,0.55,0.06,1
5.0,0.6672,168,0,93,7.0,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,21.7,SECA,0.7,0.02,1
4.0,0.6672,149,4,69,5.2,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,30.9,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,57,5.1,BOVINO,Canchim,IATF,P4+EB,27.7,CHUVOSA,0.7,0.02,1
4.0,0.6672,183,2,36,3.6,BOVINO,Brahman,IATF,Cosynch,27.6,SECA,0.7,0.02,1
3.0,0.59,82,3,40,9.4,OVINO,Morada Nova,IATF,Crestar,26.6,SECA,0.74,0.0156,1
3.5,0.88,89,3,48,7.9,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,28.7,CHUVOSA,0.47,0.036,1
3.5,0.73,116,3,146,7.2,BOVINO,Tabapuã,IATF,Crestar,28.1,SECA,0.53,0.0137,1
4.0,0.5726,278,2,105,5.3,OVINO,Bergamácia,IA_CONVENCIONAL,IA_CONVENCIONAL,31.5,CHUVOSA,0.7,0.02,1
1.0,0.6672,168,0,60,5.6,BOVINO,Girolando,IATF,Resynch,30.8,CHUVOSA,0.7,0.02,0
4.0,0.6672,168,0,95,8.9,BOVINO,Canchim,IA_CONVENCIONAL,IA_CONVENCIONAL,29.6,CHUVOSA,0.7,0.02,1
4.0,0.57,58,3,34,6.8,BOVINO,Guzerá,IATF,Crestar,26.2,SECA,0.77,0.06,1
